time,bpm
2022-04-23 17:33:04.632996+00:00,86
2022-04-23 17:33:37.261610+00:00,107
2022-04-23 17:34:08.670873+00:00,95
2022-04-23 17:34:41.339497+00:00,76
2022-04-23 17:35:12.753881+00:00,81
2022-04-23 17:35:45.364759+00:00,71
2022-04-23 17:36:18.631295+00:00,86
2022-04-23 17:36:51.261276+00:00,79
2022-04-23 17:37:22.580451+00:00,81
2022-04-23 17:37:55.335560+00:00,76
2022-04-23 17:38:59.912835+00:00,81
2022-04-23 17:39:32.530412+00:00,95
2022-04-23 17:40:05.857090+00:00,76
2022-04-23 17:41:01.405342+00:00,81
2022-04-23 17:42:07.974621+00:00,76
2022-04-23 17:42:40.636522+00:00,81
2022-04-23 17:43:44.630823+00:00,95
2022-04-23 17:44:17.255031+00:00,81
2022-04-23 17:44:46.639026+00:00,64
2022-04-23 17:45:12.743196+00:00,79
2022-04-23 17:45:44.693360+00:00,55
2022-04-23 17:46:17.313620+00:00,76
2022-04-23 17:47:47.412232+00:00,57
2022-04-23 17:48:20.660048+00:00,76
2022-04-23 17:48:50.675834+00:00,71
2022-04-23 17:49:23.301088+00:00,76
2022-04-23 17:49:54.619290+00:00,81
2022-04-23 17:50:21.395106+00:00,76
2022-04-23 19:28:27.283250+00:00,81
2022-04-23 19:28:58.591548+00:00,76
2022-04-23 19:29:31.226403+00:00,86
2022-04-23 19:30:03.843642+00:00,75
2022-04-23 19:30:27.343053+00:00,76
2022-04-23 19:30:58.663056+00:00,71
2022-04-23 19:31:31.513693+00:00,86
2022-04-23 19:32:04.809899+00:00,79
2022-04-23 19:32:37.481969+00:00,48
2022-04-23 19:33:10.742204+00:00,79
2022-04-23 19:34:14.684514+00:00,86
2022-04-23 19:34:47.305379+00:00,95
2022-04-23 19:35:19.262597+00:00,76
2022-04-23 19:35:50.578785+00:00,81
2022-04-23 19:36:23.832529+00:00,95
2022-04-23 19:36:56.485645+00:00,79
2022-04-23 19:37:30.388431+00:00,71
2022-04-23 19:38:01.704462+00:00,79
2022-04-23 19:38:34.340433+00:00,71
2022-04-23 19:39:05.641810+00:00,95
2022-04-23 19:39:37.609415+00:00,76
2022-04-23 19:40:07.617287+00:00,48
2022-04-23 19:40:28.589678+00:00,76
2022-04-23 19:42:01.247574+00:00,48
2022-04-23 19:42:32.569598+00:00,76
2022-04-23 19:43:34.541235+00:00,49
2022-04-23 19:44:07.784376+00:00,55
2022-04-23 19:44:40.418556+00:00,76
2022-04-23 19:45:07.817776+00:00,48
2022-04-23 19:46:09.780083+00:00,71
2022-04-23 19:46:41.783498+00:00,76
2022-04-23 19:47:11.794871+00:00,71
2022-04-23 19:47:41.809396+00:00,48
2022-04-23 19:48:14.448362+00:00,76
2022-04-23 19:48:45.760775+00:00,48
2022-04-23 19:49:18.380626+00:00,79
2022-04-23 19:49:51.639256+00:00,76
2022-04-23 19:50:21.652254+00:00,75
2022-04-23 19:50:53.601225+00:00,76
2022-04-23 19:51:56.284179+00:00,48
2022-04-23 19:52:28.235849+00:00,76
2022-04-23 19:52:59.606432+00:00,71
2022-04-23 19:53:32.221214+00:00,76
2022-04-23 19:54:04.857570+00:00,75
2022-04-23 19:54:37.474931+00:00,76
2022-04-23 19:56:13.374018+00:00,48
2022-04-23 19:56:46.769848+00:00,76
2022-04-23 19:57:19.389114+00:00,95
2022-04-23 19:58:24.640338+00:00,76
2022-04-23 20:00:24.742636+00:00,94
2022-04-23 20:00:56.743235+00:00,55
2022-04-23 20:01:29.411613+00:00,76
2022-04-23 20:01:59.515014+00:00,52
2022-04-23 20:02:30.829542+00:00,76
2022-04-23 20:06:49.819506+00:00,86
2022-04-23 20:07:22.440797+00:00,71
2022-04-23 20:07:53.848211+00:00,79
2022-04-23 20:08:26.519175+00:00,76
2022-04-23 20:09:00.453264+00:00,71
2022-04-23 20:09:33.707166+00:00,75
2022-04-23 20:10:06.332553+00:00,55
2022-04-23 20:10:28.559717+00:00,76
2022-04-23 20:13:42.282013+00:00,71
2022-04-23 20:14:11.625627+00:00,79
2022-04-23 20:14:44.261006+00:00,76
2022-04-23 20:15:15.583495+00:00,79
2022-04-23 20:15:48.828917+00:00,71
2022-04-23 20:16:21.459306+00:00,76
2022-04-23 20:20:30.756767+00:00,71
2022-04-23 20:21:03.384973+00:00,48
2022-04-23 20:21:36.635309+00:00,76
2022-04-23 20:22:40.583942+00:00,81
2022-04-23 20:23:13.842044+00:00,76
2022-04-23 20:24:15.805375+00:00,81
2022-04-23 20:24:48.482395+00:00,79
2022-04-23 20:25:21.823783+00:00,71
2022-04-23 20:26:25.768134+00:00,55
2022-04-23 20:26:58.391745+00:00,81
2022-04-23 20:27:31.651061+00:00,76
2022-04-23 20:28:04.213543+00:00,48
2022-04-23 20:28:33.611933+00:00,55
2022-04-23 20:29:03.627751+00:00,49
2022-04-23 20:29:33.639958+00:00,48
2022-04-23 20:30:26.523810+00:00,76
2022-04-23 20:30:57.839229+00:00,55
2022-04-23 20:31:27.853773+00:00,48
2022-04-23 20:32:00.480063+00:00,76
2022-04-23 20:33:37.772871+00:00,55
2022-04-23 20:34:11.020764+00:00,76
2022-04-23 20:34:39.736368+00:00,49
2022-04-23 20:35:37.785334+00:00,48
2022-04-23 20:36:07.801600+00:00,49
2022-04-23 20:36:37.812830+00:00,76
2022-04-23 20:37:38.475849+00:00,49
2022-04-23 20:38:09.798097+00:00,55
2022-04-23 20:38:39.814905+00:00,48
2022-04-23 20:39:11.759481+00:00,49
2022-04-23 20:39:41.775513+00:00,48
2022-04-23 20:40:10.480810+00:00,49
2022-04-23 20:40:30.738753+00:00,48
2022-04-23 20:40:59.494623+00:00,49
2022-04-23 20:41:32.755670+00:00,76
2022-04-23 20:42:02.761604+00:00,63
2022-04-23 20:42:31.473869+00:00,52
2022-04-23 20:43:02.793045+00:00,48
2022-04-23 20:43:32.812566+00:00,49
2022-04-23 20:44:02.821428+00:00,48
2022-04-23 20:45:02.855561+00:00,76
2022-04-23 20:45:33.501114+00:00,55
2022-04-23 20:46:33.529964+00:00,52
2022-04-23 20:47:03.554433+00:00,48
2022-04-23 20:47:35.495700+00:00,56
2022-04-23 20:48:08.747118+00:00,64
2022-04-23 20:49:11.389336+00:00,76
2022-04-23 20:50:38.824477+00:00,71
2022-04-23 20:51:11.453737+00:00,76
